sku,title,description,price,availability,imageURL,linkURL
73161,Glitter Cactus,With a gold holographic glitter pot this festive green cactus is the perfect addition to your tree!,9.99,TRUE,https://www.katandannie.com/img/product/73161.frt-Z.jpg?fv=5EF631B1A30ACC8A99A6300E4297EE7E-114219,https://www.katandannie.com/glitter-cactus-73161
73354,Glitter Lightening Round,Flashes of golden lightening glam up this festive and unique glass ornament. ,7.99,FALSE,https://www.katandannie.com/img/product/73354-Z.jpg?fv=DE2C0994F5280098267ABD2AF8B7A358-72674,https://www.katandannie.com/glitter-lightening-round-73354
71783,Glittered Reindeer with Glasses,"Made of resin, this shimmering reindeer is ready to curl up in front of the fireplace with his favorite book in his wire glasses and tartan scarf.",10.99,TRUE,https://www.katandannie.com/img/product/71783_1-Z.jpg?fv=47BAE9124A6469510F712B31D1051747-59521,https://www.katandannie.com/glittered-reindeer-with-glasses-71783
73241,Glitzy Glitter Tulip,This glass tulip of gold glitter and chunky sequins and beads hangs so elegantly on any Christmas tree. ,7.99,TRUE,https://www.katandannie.com/img/product/73241.frt-Z.jpg?fv=8BF4E5D959F9275137D021003EB113D3-89790,https://www.katandannie.com/glitzy-glitter-tulip-73241
78339,Glitzy Pearl Round,This glitzy pearled round will be sure to snazz up any Christmas Tree.,10.99,TRUE,https://www.katandannie.com/img/product/78339_1-Z.jpg?fv=FCFE2DD48FD33AA9DB8ECC12CB71250D-94096,https://www.katandannie.com/glitzy-pearl-round-78339
73162,Glitzy Rainbow Sequin Round,With sparkly fun sequins inside and a gold glitter cap this jolly round glass ornament is sure to shine this holiday season. ,8.99,FALSE,https://www.katandannie.com/img/product/73162.frt-Z.jpg?fv=88AB9119DADEF2FBE42B294A48E5EC3F-122206,https://www.katandannie.com/glitzy-rainbow-sequin-round-73162
73213,Glitzy Silver Snowcap Round,"Reflective and shiny, this silver glass round with glitter and bead encrusted snowcap will pop on your Christmas tree. ",7.99,TRUE,https://www.katandannie.com/img/product/73213.frt-Z.jpg?fv=CE67310F9969C292F0DEAA52ECCC9B24-109021,https://www.katandannie.com/glitzy-silver-snowcap-round-73213
71714,"Gold ""Joy"" Disc","This shiny opal glass disc is elegantly decorated with graceful gold glitter script reading ""Joy"".",6.99,TRUE,https://www.katandannie.com/img/product/71714_1-Z.jpg?fv=52B95DBA5E65AC5B5E7DA9522B1861D2-58320,https://www.katandannie.com/gold-joy-disc-71714
71715,"Gold ""Noel"" Disc","This shiny opal glass disc is elegantly decorated with graceful gold glitter script reading ""Noel"".",6.99,TRUE,https://www.katandannie.com/img/product/71715_1-Z.jpg?fv=CD74760D4745C6458AB1B4E2782865E3-61404,https://www.katandannie.com/gold-noel-disc-71715
71708,"Gold ""Peace"" Disc","This shiny opal glass disc is elegantly decorated with graceful gold glitter script reading ""Peace"".",6.99,TRUE,https://www.katandannie.com/img/product/71708_1-Z.jpg?fv=0731AB54B0987B8D77C19CBF0EB35EC1-61408,https://www.katandannie.com/gold-peace-disc-71708
71655,Gold & Silver Glittered Round,A shimmering glass round accented with alternating gold and gunmetal glitter stripes.,6.99,TRUE,https://www.katandannie.com/img/product/71655_1-Z.jpg?fv=1F6C9942B05248594234AF7AD5200FF2-87108,https://www.katandannie.com/gold-silver-glittered-round-71655
71675,Gold & White Owl Round,"Featuring a regal owl, this molded glass round is accented with frosted white-wash creating a snow-like feel.",9.99,TRUE,https://www.katandannie.com/img/product/71675_1-Z.jpg?fv=3F4E9D266B34DC8FF21CC0376E2EE1A8-76808,https://www.katandannie.com/gold-white-owl-round-71675
73235,Gold and Oil Slick Jewel Round,A golden glitter diamond pattern finished in oil slick jewels add the perfect amount of sparkle to this clear glass ornament.,12.99,TRUE,https://www.katandannie.com/img/product/73235-Z.jpg?fv=7911F9A1B162FC1086ADC323096603C8-130687,https://www.katandannie.com/gold-and-oil-slick-jewel-round-73235
73880,Gold Brushed Round,This ornament is brushed with gold paint and sprinkled with gold glitter for a finish touch and extra flare. ,6.99,TRUE,https://www.katandannie.com/img/product/73880_1-Z.jpg?fv=39FD242265AFA08C3D3F5B4AA3EB0633-77613,https://www.katandannie.com/gold-brushed-round-73880
78307,Gold Crackled Round,The gold mosaic offers a compelling beauty on our Gold Crackled Round.,8.99,TRUE,https://www.katandannie.com/img/product/78307_1-Z.jpg?fv=9D36E7140B6C9695499BFE48D5D8988E-85252,https://www.katandannie.com/gold-crackled-round-78307
71883,Gold Foiled Blue Round,"Belted in gold foil, this delicate glass round features a sky blue top with a dusky blue bottom.",6.99,TRUE,https://www.katandannie.com/img/product/71883_1-Z.jpg?fv=6B7CFC1C2A6DAA9F21B90781784943E5-41940,https://www.katandannie.com/gold-foiled-blue-round-71883
78399,Gold Foiled Burgundy Finial,This two tiered glass finial is covered in gold foil and a translucent burgundy.,10.99,TRUE,https://www.katandannie.com/img/product/78399_1-Z.jpg?fv=CE6B054D77E8C9D73D028F39EDBD0BB6-59257,https://www.katandannie.com/gold-foiled-burgundy-finial-78399
71659,Gold Hexagon Round,A ravishing golden hexagon round completed with an antiqued mercury finish.,6.99,TRUE,https://www.katandannie.com/img/product/71659_1-Z.jpg?fv=DD59F66A5187EB1C13DC5718C3CDFDB9-70520,https://www.katandannie.com/gold-hexagon-round-71659
78441,Gold Pineapple Round,This frosty white glass round screams vacation as it is decorated with metallic pineapples.,9.99,FALSE,https://www.katandannie.com/img/product/78441_1-Z.jpg?fv=AD3D0EE3EFB0BD5269A1FAA8C3DE1BFB-32613,https://www.katandannie.com/gold-pineapple-round-78441
78260,Gold Reindeer,"This modern, detailed reindeer is covered in gold foil and would look so lovely as it glistens while hanging on anyone's tree.",10.99,TRUE,https://www.katandannie.com/img/product/78260_1-Z.jpg?fv=F281468DEF2519157CB9CC8E8F367E18-47150,https://www.katandannie.com/gold-reindeer-78260
71682,Gold Reindeer Round,"The resplendant gold shiny finish of the glass round is bedecked in red, gold, and green glitter that provides a silhouette of a regal reindeer.",6.99,TRUE,https://www.katandannie.com/img/product/71682_1-Z.jpg?fv=3A9BB9C72CAB6EE0D1864D071B72E23B-57820,https://www.katandannie.com/gold-reindeer-round-71682
73171,Gold Watch,"Glittered and golden, this retro glass watch will add a little fun to your holiday décor this season.",8.99,TRUE,https://www.katandannie.com/img/product/73171.frt-Z.jpg?fv=CF099F43D07121C6846C649FA5917B1D-65868,https://www.katandannie.com/gold-watch-73171
71947,Golden Blue Round,"With a rich gold foil brushed over the dark blue round, you're sure to add a modern touch to your tree.",7.99,TRUE,https://www.katandannie.com/img/product/71947_1-Z.jpg?fv=290A1AEEA64E1B916BF7A4D5C751A6C9-75318,https://www.katandannie.com/golden-blue-round-71947
